Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Subhasis Dasgupta,Male,1961-02-22T00:00:00Z,NA,NA,2018-10-12T00:00:00Z,2023-02-21T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,University of Burdwan,Science,University of Burdwan,1984,NA,West Bengal,No,No,No,Calcutta
Subrata Talukdar,Male,1961-07-04T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2023-07-03T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,"Presidency College, Kolkata",Political Science,University of Delhi,NA,1989,West Bengal,No,Yes,No,Calcutta
Indra Prasanna Mukherji,Male,1963-06-09T00:00:00Z,NA,NA,2009-05-18T00:00:00Z,2025-06-08T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"St. Xavier's Schoool, Calcutta",NA,NA,University of Calcutta,NA,1990,West Bengal,Yes,No,No,Calcutta
Harish Tandon,Male,1964-11-16T00:00:00Z,NA,NA,2010-04-13T00:00:00Z,2026-11-15T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1989,1989,West Bengal,No,No,No,Calcutta
Dipankar Datta,Male,1965-02-09T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2020-04-27T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Bombay,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1989,1989,West Bengal,No,No,No,Calcutta
Soumen Sen,Male,1965-07-27T00:00:00Z,West Bengal,Kolkata,2011-04-13T00:00:00Z,2027-07-26T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,"St. Lawrence High School, Calcutta",NA,NA,University of Calcutta,1990,1991,West Bengal,No,No,No,Calcutta
Arindam Sinha,Male,1965-09-22T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2027-09-21T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta
Ashis Kumar Chakraborty,Male,1965-12-12T00:00:00Z,West Bengal,NA,2016-10-06T00:00:00Z,2027-12-11T00:00:00Z,Yes,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1992,1993,West Bengal,No,No,No,Calcutta
Debangsu Basak,Male,1966-06-19T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2028-06-18T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta
Tapabrata Chakraborty,Male,1966-11-27T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2028-11-26T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,Yes,Calcutta
Arijit Banerjee,Male,1967-03-07T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2029-03-06T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta
Rajarshi Bharadwaj,Male,1967-08-04T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2029-08-03T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"St. Xaviers College, Kolkata",NA,University of Calcutta,1998,1999,West Bengal,No,No,No,Calcutta
Moushumi Bhattacharya,Female,1967-10-27T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2029-10-26T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Loreto House, Calcutta","Jadavpur University, Calcutta",English,University of Calcutta,1996,1997,West Bengal,Yes,No,Yes,Calcutta
Rajasekhar Mantha,Male,1967-10-29T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2029-10-28T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,"St. Paul's Boarding and Day's School; St. Xavier's Collegiate School, Calcutta",NA,NA,"University College of Law, Nagpur",1990,1991,West Bengal,Yes,No,Yes,Calcutta
Shampa Sarkar,Female,1968-02-18T00:00:00Z,NA,NA,2018-03-12T00:00:00Z,2030-02-17T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Loreto College, Calcutta",English,North Bengal University,1992,1993,West Bengal,No,No,No,Calcutta
Suvra Ghosh,Female,1968-04-23T00:00:00Z,NA,NA,2018-11-19T00:00:00Z,2030-04-22T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,Hyderabad Board,NA,NA,University of Calcutta,1991,NA,West Bengal,No,No,No,Calcutta
Hiranmay Bhattacharya,Male,1968-12-18T00:00:00Z,NA,NA,2019-02-12T00:00:00Z,2030-12-17T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Ramakrishna Mission Vidyalaya, Narendrapur",Goenka College of Commerce and Business Administration,Commerce,University of Calcutta,2000,NA,West Bengal,No,Yes,No,Calcutta
Protik Prakash Banerjee,Male,1969-06-01T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2031-05-31T00:00:00Z,Yes,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,Calcutta Boys School,University of Calcutta,NA,University of Calcutta,NA,1995,West Bengal,No,No,No,Calcutta
Sabyasachi Bhattacharyya,Male,1970-08-30T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2032-08-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,Calcutta Boy's School,NA,NA,University of Calcutta,1995,1995,West Bengal,No,No,No,Calcutta
Jay Sengupta,Male,1970-10-30T00:00:00Z,NA,NA,2018-05-02T00:00:00Z,2032-10-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"South Point High School, Kolkata","St. Xaviers College, Kolkata",Economics,University of Mumbai,NA,1996,West Bengal,No,No,No,Calcutta
Ravi Krishan Kapur,Male,1971-10-05T00:00:00Z,NA,NA,2018-03-12T00:00:00Z,2033-10-04T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"St. Xaviers College, Kolkata",Commerce,University of Leeds,1997,1998,West Bengal,Yes,No,No,Calcutta
Shekhar Bobby Saraf,Male,1971-10-21T00:00:00Z,NA,NA,2017-09-21T00:00:00Z,2033-10-20T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,"St. Xavier's Collegiate School, Calcutta",NA,NA,"National Law School of India University, Bangalore",1996,1999,West Bengal,Yes,No,Yes,Calcutta
Kaushik Chanda,Male,1974-01-04T00:00:00Z,NA,NA,2019-10-01T00:00:00Z,2036-01-03T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,University of Calcutta,1997,1998,West Bengal,No,No,No,Calcutta
Abhijit Gangopadhyay,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Amrita Sinha,Female,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Arindam Mukherjee,Male,NA,NA,NA,2018-03-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Asha Arora,Female,NA,NA,NA,2016-06-10T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Bibek Chaudhuri,Male,NA,NA,NA,2018-10-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Biswajit Basu,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Md Nizamuddin,Male,NA,NA,NA,2019-02-12T00:00:00Z,2024-04-13T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,NA,NA,NA,Calcutta
Saugata Bhattacharya,Male,NA,NA,NA,2019-02-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Tirthankar Ghosh,Male,NA,NA,NA,2019-02-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta
Dilip Deshmukh,Male,1947-09-06T00:00:00Z,NA,NA,2005-05-05T00:00:00Z,2009-09-05T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Arts,NA,NA,1973,Bombay,NA,NA,Yes,Chhattisgarh
Dhirendra Mishra,Male,1949-04-12T00:00:00Z,NA,NA,2004-12-01T00:00:00Z,2011-04-23T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Rajeshwar Jhanwar,Male,1949-07-06T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2011-07-06T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Ghulam Minhujuddin,Male,1951-07-12T00:00:00Z,NA,NA,2011-05-10T00:00:00Z,2013-07-11T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Radhe Shyam Sharma,Male,1951-11-25T00:00:00Z,NA,NA,2011-05-10T00:00:00Z,2013-10-08T00:00:00Z,No,Yes,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Nawal Agarwal,Male,1952-07-24T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2014-07-24T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,Yes,NA,"CMD College, Bilaspur",Science & Arts,"MES College, Bilaspur",NA,1979,Madhya Pradesh,NA,Yes,No,Chhattisgarh
R. N. Chandrakar,Male,1952-08-05T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2014-08-04T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,Chhattisgarh
Yatindra Singh,Male,1952-10-09T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2014-10-08T00:00:00Z,No,No,Allahabad,no,NA,NA,NA,NA,NA,NA,Yes,Chhattisgarh,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,Allahabad University,Science,Allahabad University,1973,1973,NA,NA,NA,No,Chhattisgarh
Tankeshwar Prasad Sharma,Male,1953-06-19T00:00:00Z,NA,NA,2008-01-11T00:00:00Z,2015-06-18T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,yes,No,No,No,No,No,NA,NA,Science,NA,NA,NA,Madhya  Pradesh,NA,NA,Yes,Chhattisgarh
Inder Singh Uboweja,Male,1954-06-01T00:00:00Z,Chhattisgarh,"Saraipali, Raipur (now Mahasamund)
",2014-01-27T00:00:00Z,2016-05-31T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Arts,NA,NA,1978,Madhya  Pradesh,NA,Yes,Yes,Chhattisgarh
Chandra Bajpai,Male,1955-10-14T00:00:00Z,Madhya Pradesh,NA,2014-01-27T00:00:00Z,2017-10-13T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Chhattisgarh
Navin Sinha,Male,1956-08-19T00:00:00Z,NA,NA,NA,NA,NA,NA,Patna,no,NA,NA,NA,NA,NA,NA,Yes,Chhattisgarh,Rajasthan,NA,No,2017-02-17T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,NA,Arts,NA,NA,1979,Patna,NA,NA,Yes,Chhattisgarh
Ram Prasanna Sharma,Male,1958-05-20T00:00:00Z,NA,NA,2017-06-27T00:00:00Z,2020-05-19T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Sharad Kumar Gupta,Male,1959-04-14T00:00:00Z,Chhatisgarh,Rajnandgaon,2017-06-27T00:00:00Z,2021-03-31T00:00:00Z,No,Yes,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,Awadhesh Pratap University,Science,Jivaji University,NA,NA,NA,NA,NA,NA,Chhattisgarh
Vimla Kapoor,Female,1959-11-16T00:00:00Z,NA,NA,2018-06-18T00:00:00Z,2021-06-17T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Gautam Choudhury,Male,1960-07-04T00:00:00Z,Chhattisgarh,Rajnandgaon,2018-06-18T00:00:00Z,2022-07-03T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,NA,Digvijay College,Commerce,Pt. Ravi Shankar University,NA,1984,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Ajay Kumar Tripathi,Male,1961-07-05T00:00:00Z,Uttar Pradesh,Pratapgarh,NA,NA,NA,NA,Patna,no,NA,NA,NA,NA,NA,NA,Yes,Chhatisgarh,NA,NA,No,NA,Bar,No,Yes,yes,NA,Yes,No,No,No,No,NA,NA,Science,NA,1983,NA,NA,NA,Yes,NA,Chhattisgarh
Goutam Bhanduri,Male,1962-11-10T00:00:00Z,NA,NA,2013-09-16T00:00:00Z,2024-11-09T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,yes,NA,Yes,Yes,Yes,Yes,Yes,"Bengali Kalibadi School, Raipur and St. Paul Higher Secondary, School, Raipur",Ravi Shankar University,Commerce,Ravi Shankar University,NA,1985,Madhya Pradesh,NA,NA,yes,Chhattisgarh
Arvind Chandel,Male,1963-09-01T00:00:00Z,Chhattisgarh,Bilaspur,2017-06-27T00:00:00Z,2025-08-31T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Pt. Ravi Shankar Shukla University,Arts,Guru Ghasidas University,NA,1987,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Manindra Mohan Shrivastava,Male,1964-03-06T00:00:00Z,Chhatisgarh,Bilaspur,2009-12-10T00:00:00Z,2026-03-05T00:00:00Z,No,No,Chhattisgarh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,yes,NA,CMD college,Science,K R Law College,NA,1987,Madhya Pradesh,NA,NA,yes,Chhattisgarh
Rajani Dubey,Female,1964-06-30T00:00:00Z,Madhya Pradesh,Jabalpur,2018-06-18T00:00:00Z,2026-06-29T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,no,no,No,No,NA,"Government Degree College,Mandla",NA,Rani Durgawati University,NA,1987,Madhya Pradesh,NA,NA,NA,Chhattisgarh
Sanjay Agrawal,Male,1964-08-21T00:00:00Z,Chhattisgarh,Bilaspur,2016-09-29T00:00:00Z,2026-08-20T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,yes,NA,Yes,No,No,No,No,NA,NA,Science,Kaushalendra Rao Law College,NA,1989,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Prasant Kumar Mishra,Male,1964-08-29T00:00:00Z,Chhatisgarh,Raigarh,2009-12-10T00:00:00Z,2026-08-28T00:00:00Z,NA,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,Yes,No,No,Yes,NA,Guru Ghasidas University,Science,Guru Ghasidas University,NA,1987,Madhya Pradesh,No,Yes,Yes,Chhattisgarh
Naresh Chandravanshi,Male,1965-11-06T00:00:00Z,Chhattisgarh,Udpala,2021-03-22T00:00:00Z,NA,NA,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,Hari Singh Gaur University,NA,NA,NA,NA,NA,NA,Chhattisgarh
Puthichira Koshy,Male,1967-04-30T00:00:00Z,NA,NA,2013-09-16T00:00:00Z,2029-04-29T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,yes,NA,Yes,Yes,Yes,Yes,Yes,NA,G. S. College,Commerce,Rani Durgawati Vishwavidyala,1991,1991,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Narendra Kumar Vyas,Male,1970-10-05T00:00:00Z,Chhattisgarh,Raipur,2021-03-22T00:00:00Z,NA,NA,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,"St. Pauls Higher Secondary School, Raipur","Pt. Ravishankar University, Raipur",Science,"Pt. Ravishankar University, Raipur",1995,1996,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Parth Prateem Sahu,Male,1971-04-19T00:00:00Z,Madhya Pradesh,Dhamtari,2018-06-18T00:00:00Z,2033-04-18T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,Rani Durgawati University,Commerce,Rani Durgawati University,NA,1996,Madhya Pradesh,NA,NA,Yes,Chhattisgarh
Anil Kumar Shukla,Male,NA,NA,NA,NA,NA,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,NA,Yes,NA,Chhattisgarh
Fakhruddin,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
L. C. Bhadoo,Male,NA,NA,NA,2003-01-20T00:00:00Z,2008-07-24T00:00:00Z,NA,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Rajendra Chandra Singh Samant,Male,NA,NA,NA,2016-09-29T00:00:00Z,2022-06-30T00:00:00Z,No,No,Chhattisgarh,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Vijay Kumar Shrivastava,Male,NA,NA,NA,2004-09-27T00:00:00Z,2007-03-03T00:00:00Z,NA,No,NA,no,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chhattisgarh
Milap Chand Jain,Male,1929-07-21T00:00:00Z,NA,NA,1978-06-15T00:00:00Z,1991-07-20T00:00:00Z,No,No,Rajasthan,No,NA,NA,NA,NA,NA,NA,Yes,Delhi,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1953,Rajasthan,NA,NA,NA,Delhi
Yogeshwar Dayal,Male,1930-11-18T00:00:00Z,Pakistan (then in Punjab),Lahore,1974-02-28T00:00:00Z,1994-08-02T00:00:00Z,Yes,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Andhra Pradesh (Hyderabad),NA,NA,Yes,1991-03-22T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Bhargava Municipal College, Simla",Arts,University of Delhi,NA,1955,Punjab and Haryana,No,No,No,Delhi
P. K. Bahri,Male,1931-04-24T00:00:00Z,NA,NA,1987-07-10T00:00:00Z,1996-04-02T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Delhi
Rameshwar Lal Gupta,Male,1932-10-15T00:00:00Z,NA,NA,1989-04-27T00:00:00Z,1994-10-14T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Delhi
Gokal Chand Mittal,Male,1933-03-04T00:00:00Z,NA,NA,1979-02-19T00:00:00Z,1995-03-03T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,Yes,Delhi,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1956,Punjab and Haryana,No,No,No,Delhi
Konethota Shivshankar Bhat,Male,1933-03-12T00:00:00Z,NA,NA,1987-03-06T00:00:00Z,1995-03-11T00:00:00Z,No,No,Karnataka,Yes,Delhi,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,NA,NA,Arts,Madras Law College (Madras University),NA,1958,NA,No,No,No,Delhi
Sagar Chand Jain,Male,1933-09-23T00:00:00Z,NA,NA,1990-07-13T00:00:00Z,1995-09-22T00:00:00Z,No,No,Delhi,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Government College, Rohtak",Arts,University of Delhi,NA,NA,Delhi,No,No,No,Delhi
