Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Kripa Shankar Gupta,Male,1941-01-07T00:00:00Z,Not Available,Not Available,1996-04-09T00:00:00Z,2003-01-06T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1965,Uttar Pradesh,No,Yes,No,Delhi,
Arun Kumar,Male,1941-04-12T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,2006-04-11T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Not Applicable,Not Applicable,Yes,2002-10-03T00:00:00Z,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Commerce,Not Available,Not Available,1964,Delhi,Yes,No,Yes,Delhi,
S.N. Kapoor,Male,1941-05-28T00:00:00Z,Not Available,Not Available,1996-04-09T00:00:00Z,2003-05-27T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,No,Yes,No,Delhi,
Usha Mehra,Female,1941-11-14T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,2003-11-13T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1962,Delhi,No,No,No,Delhi,
Surender Kumar Mahajan,Male,1941-12-05T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2003-12-04T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1967,Delhi,No,No,No,Delhi,
Mahmood Ali Khan,Male,1941-12-12T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2003-12-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Did Schooling from SSK Inter College and Hinhu College, Moradabad","Hinhu College and K.G.K. College, Moradabad",Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,Yes,No,Delhi,
Yogesh Kumar Sabharwal,Male,1942-01-14T00:00:00Z,Not Available,Not Available,1986-11-17T00:00:00Z,2007-01-13T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Bombay,Not Applicable,Not Applicable,Yes,2000-01-28T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Hindu College,Arts,University of Delhi,1964,1964,Delhi,No,No,No,Delhi,
Nikhilchandra Gulabshankar Nandi,Male,1942-03-21T00:00:00Z,Gujarat,Baroda,1994-10-12T00:00:00Z,2004-03-20T00:00:00Z,No,No,Gujarat,Yes,Delhi,1994-10-31T00:00:00Z,Gujarat,2001-06-04T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"Faculty of Law (M. S. University, Baroda)",1966,1967,Gujarat,No,Not Available,No,Delhi,
Mohan Lal Verma,Male,1942-04-03T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,1991-07-06T00:00:00Z,No,Yes,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Delhi,No,Yes,No,Delhi,
Jiwan Dass Kapoor,Male,1942-04-10T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2004-04-09T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Entire education from School to College level from erstwhile Punjab,Not Available,Arts,Not Available,Not Available,Not Available,Not Available,No,No,No,Delhi,
Anil Dev Singh,Male,1942-10-22T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,2004-10-21T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1964,Delhi,No,No,No,Delhi,
Sunanda Bhandare,Female,1942-11-01T00:00:00Z,Not Available,Not Available,1984-06-01T00:00:00Z,1994-11-10T00:00:00Z,Yes,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1968,Maharashtra,No,No,No,Delhi,
Devinder Gupta,Male,1943-04-04T00:00:00Z,Not Available,Not Available,1990-06-25T00:00:00Z,2005-04-03T00:00:00Z,No,No,HimachalPradesh,Yes,Delhi,1994-04-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1967,Himachal Pradesh,No,No,No,Delhi,
C. K. Mahajan,Male,1943-05-31T00:00:00Z,Not Available,Not Available,1999-07-05T00:00:00Z,2005-05-30T00:00:00Z,no,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,no,Not Applicable,Bar,No,Yes,no,Not Applicable,Yes,no,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1970,Chandigarh,no,No,No,Delhi,
Ramesh Chandra Chopra,Male,1943-12-18T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2005-12-17T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Delhi University,1966,Not Applicable,Not Applicable,No,No,No,Delhi,
Om Prakash Dwivedi,Male,1944-04-01T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2006-03-31T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Kher Inter College, Gursrai","Jhansi Govt. Inter College, Jhansi",Not Available,Allahabad University,Not Available,Not Applicable,Not Applicable,No,Yes,No,Delhi,
Surinder Kumar Aggarwal,Male,1944-04-04T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2006-04-03T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,1999-07-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1965,Delhi,No,No,No,Delhi,
Ramesh Chand Jain,Male,1944-06-26T00:00:00Z,Uttar Pradesh,Sahranpur,2001-07-16T00:00:00Z,2006-06-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Agra University,Not Available,Not Available,Not Available,No,No,No,Delhi,
Satya Brata Sinha,Male,1944-08-08T00:00:00Z,Jharkhand (then in Bihar),Dhanbad,1987-03-09T00:00:00Z,2009-08-07T00:00:00Z,No,No,Patna,Yes,Calcutta,1994-05-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Delhi,Not Applicable,Yes,2002-10-03T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"H. E. School, Dhanbad",Not Available,Science,ChotaNot Availablegpur Law College,1967,1968,Bihar,No,No,No,Delhi,
Manju Goel,Female,1945-01-03T00:00:00Z,Not Available,Not Available,2004-07-05T00:00:00Z,2007-01-02T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,University of Calcutta,1967,Not Applicable,Not Applicable,No,Yes,No,Delhi,
J P Singh,Male,1945-07-10T00:00:00Z,Not Available,Not Available,2004-07-05T00:00:00Z,2007-07-09T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1969,Delhi,No,Yes,No,Delhi,
R. S. Sodhi,Male,1945-11-11T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2007-11-07T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Bishop Cotton School, Shimla","Lyallpur Khalsa College, Jallandhar",Not Available,Punjab University,1972,1972,Delhi,No,No,No,Delhi,
J. M. Malik,Male,1946-07-18T00:00:00Z,Not Available,Not Available,2006-02-28T00:00:00Z,2008-07-17T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Punjab University,Not Available,Punjab University,1968,1969,Punjab and HaryaNot Available,No,No,No,Delhi,
Vijender Jain,Male,1946-08-02T00:00:00Z,Not Available,Not Available,1992-12-24T00:00:00Z,2008-08-01T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,PunjabandHaryana,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1969,Not Available,No,Yes,No,Delhi,
Markandeya Katju,Male,1946-09-20T00:00:00Z,Not Available,Not Available,1991-11-30T00:00:00Z,2011-09-19T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Delhi,Not Applicable,Yes,2006-04-10T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Allahabad University,1967,Not Available,Not Available,No,No,No,Delhi,
H R Malhotra,Male,1947-04-10T00:00:00Z,Not Available,Not Available,2002-08-26T00:00:00Z,2009-04-09T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Punjab University,Arts,Delhi University,1971,Not Available,Not Available,No,No,No,Delhi,
Dalveer Bhandari,Male,1947-10-01T00:00:00Z,Rajasthan,Jodhpur,1991-03-19T00:00:00Z,2012-04-27T00:00:00Z,No,Yes,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Bombay,Not Applicable,Not Applicable,Yes,2005-10-28T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Jodhpur University,Arts,Jodhpur University,1968,1968,Rajasthan,Yes,No,Yes,Delhi,
B. N. Chaturvedi,Male,1947-10-02T00:00:00Z,Uttar Pradesh,Allahabad,2000-12-01T00:00:00Z,2009-10-01T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1969,Uttar Pradesh,No,Yes,No,Delhi,
Swatanter Kumar,Male,1947-12-31T00:00:00Z,Not Available,Not Available,1994-11-10T00:00:00Z,2009-12-30T00:00:00Z,No,No,Delhi,Yes,PunjabandHaryana,1994-11-30T00:00:00Z,Delhi,2004-10-04T00:00:00Z,Not Applicable,Not Applicable,Yes,Bombay,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1971,Delhi,No,No,No,Delhi,
Ajit Prakash Shah,Male,1948-02-13T00:00:00Z,Maharashtra,Solapur,1992-12-18T00:00:00Z,2010-02-12T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Delhi,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,"Government Law College, Mumbai",Not Available,1977,Maharastra & Goa,No,No,No,Delhi,
Vidya Bhushan Gupta,Male,1948-11-25T00:00:00Z,Not Available,Not Available,2007-01-09T00:00:00Z,2010-11-24T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Delhi University,Not Available,Delhi University,1972,1972,Not Available,No,No,No,Delhi,
Mukul Mudgal,Male,1949-01-04T00:00:00Z,Not Available,Not Available,1998-03-02T00:00:00Z,2011-01-03T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,PunjabandHaryana,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Yes,"Modern School, Barakhamba Road, New Delhi","Hindu College, Delhi University",Science,Delhi University,Not Available,1973,Delhi,No,No,No,Delhi,
S N Dhingra,Male,1949-03-02T00:00:00Z,New Delhi,New Delhi,2006-02-28T00:00:00Z,2011-03-01T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Delhi Unversity,Science,Delhi University,Not Available,1976,Not Available,No,Yes,Yes,Delhi,
S. L. Bhayana,Male,1949-04-15T00:00:00Z,Not Available,Not Available,2006-02-28T00:00:00Z,2011-04-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1973,Delhi,No,No,No,Delhi,
Rekha Sharma,Female,1949-07-31T00:00:00Z,Not Available,Not Available,2005-02-23T00:00:00Z,2011-07-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Not Available,"St. Thomas Higher Secondary School, New Delhi","Miranda House, Delhi University",Not Available,Delhi University,Not Available,1972,Delhi,No,No,No,Delhi,
Ajit Bharihoke,Male,1949-10-17T00:00:00Z,Not Available,Not Available,2009-05-14T00:00:00Z,2011-10-16T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Science,"Punjab University, Chandigarh",Not Available,Not Available,Not Available,No,No,No,Delhi,
Aruna Suresh,Female,1950-02-19T00:00:00Z,Not Available,Not Available,2006-07-04T00:00:00Z,2012-02-18T00:00:00Z,No,No,Delhi,Yes,Orissa,2010-10-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Queens Mary School,"Indraprastha College for Women, Delhi University",Not Available,Delhi University,1972,Not Applicable,Not Applicable,No,No,No,Delhi,
Anil Kumar,Male,1950-07-12T00:00:00Z,Not Available,Not Available,2004-07-16T00:00:00Z,2012-07-11T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Delhi University,Not Available,1974,Delhi,No,Yes,No,Delhi,
Vikramjit Sen,Male,1950-12-31T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2015-12-30T00:00:00Z,No,No,Delhi,Yes,Karnataka,2011-09-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Karnataka,Not Applicable,Not Applicable,Yes,2012-12-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,"St. Xavier's School, Delhi",St. Stephen's College,History,Delhi University,Not Available,1976,Not Available,No,No,No,Delhi,
D. Murugesan,Male,1951-06-10T00:00:00Z,Not Available,Not Available,2000-03-02T00:00:00Z,2013-06-09T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1975,Not Available,No,No,No,Delhi,
