Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Sarosh Homi Kapadia,Male,1947-09-29T00:00:00Z,Maharashtra,Mumbai,1993-03-23T00:00:00Z,2012-09-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Uttarakhand,NA,NA,Yes,2003-12-18T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,NA,"GLC, Mumbai",NA,1974,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
SHAHRUKH JIMI KATHAWALLA,Male,1960-03-24T00:00:00Z,NA,NA,2008-07-18T00:00:00Z,2022-03-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Wilson College,Arts,Government Law College,1985,1985,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Sharad Arvind Bobde,Male,1956-04-24T00:00:00Z,Maharashtra,Nagpur,2000-03-29T00:00:00Z,2021-04-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Madhya Pradesh,NA,NA,Yes,2013-04-12T00:00:00Z,Bar,No,Yes,Yes,NA,No,No,No,No,No,"S.F.S. School, Nagpur","S.F.S College, Nagpur",Arts,Nagpur University,1978,1978,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Shiavax Jal Vazifdar,Male,1956-05-04T00:00:00Z,NA,NA,2001-01-22T00:00:00Z,2018-05-03T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Punjab & Haryana,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Rishi Valley School,St. Xaviers Bombay,NA,Hinduja Law College,NA,1980,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Shrikant Raghunath Sathe,Male,1945-12-01T00:00:00Z,NA,NA,2003-08-29T00:00:00Z,2007-12-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Commerce,NA,NA,1970,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Shrridhar Tryambak Kharche,Male,1994-01-03T00:00:00Z,NA,NA,2002-10-03T00:00:00Z,2006-01-03T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1972,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
SP KULKARNI,Male,1939-09-09T00:00:00Z,NA,NA,1995-12-05T00:00:00Z,2001-09-09T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1964,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Sudhakar Dattatray Gundewar,Male,1941-01-02T00:00:00Z,NA,NA,1997-06-09T00:00:00Z,2003-01-02T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Suresh Kantilal Shah,Male,1945-05-11T00:00:00Z,NA,NA,1999-09-27T00:00:00Z,2007-05-11T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Commerce,NA,NA,1969,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Surinder Singh Nijjar,Male,1949-06-07T00:00:00Z,Punjab,Bhar Singh Pura,1996-06-08T00:00:00Z,2011-06-07T00:00:00Z,No,No,Punjab & Harayana,Yes,Bombay,1996-04-26T00:00:00Z,Punjab & Haryana,2000-08-07T00:00:00Z,NA,NA,Yes,Calcutta,NA,NA,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,England,NA,NA,University of London,1972,1977,Punjab & Haryana,Yes,No,No,Bombay,PunjabandHaryana,Bombay,PunjabandHaryana,NA
SWAPNA JOSHI,Female,1959-08-26T00:00:00Z,NA,NA,2016-03-28T00:00:00Z,2021-08-25T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Saraswatibai Mahila Vidyalaya, Gondia; D.B. Science College, Gondia; N.M.D. College, Gondia.",NA,Commerce,NA,NA,1981,NA,No,No,No,Bombay,Bombay,NA,NA,NA
TK Chandra Shekhara Das,Male,1939-07-28T00:00:00Z,NA,NA,1994-07-06T00:00:00Z,2001-07-28T00:00:00Z,No,No,Kerala,Yes,Bombay,1994-08-05T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1969,Kerala,No,No,No,Bombay,Kerala,Bombay,NA,NA
UJJAL BHUYAN,Male,1964-08-02T00:00:00Z,Assam,Guwahati,2011-10-17T00:00:00Z,2026-08-01T00:00:00Z,No,No,Gauhati,Yes,Bombay,2019-10-03T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,Don Bosco High School,"Kirori Mal College, Delhi",Arts,"Government Law College, Guwahati",NA,1991,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,Yes,Bombay,Gauhati,Bombay,NA,NA
V. G. BISHT,Male,1960-07-19T00:00:00Z,Maharashtra,Jalna,2019-12-05T00:00:00Z,2022-07-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Nagpur University,Science,NA,NA,1985,NA,No,No,No,Bombay,Bombay,NA,NA,NA
V. G. JOSHI,Male,1962-11-14T00:00:00Z,Maharashtra,Pune,2018-10-11T00:00:00Z,2024-11-13T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Shivaji University, Kolhapur",Arts,"D.A.V. Law College, Solapur",NA,1986,NA,No,No,No,Bombay,Bombay,NA,NA,NA
V. V. KANKANWADI,Female,1964-06-24T00:00:00Z,Karnataka,Bijapur,2017-06-05T00:00:00Z,2026-06-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"People's College, Nanded",Science,"Ismailsaheb Mulla Law Collecte, Satara",NA,1987,NA,No,No,No,Bombay,Bombay,NA,NA,NA
V.C.DAGA,Male,1949-02-18T00:00:00Z,NA,NA,1999-12-13T00:00:00Z,2011-02-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1972,Maharashtra & Goa,No,Yes,No,Bombay,Bombay,NA,NA,NA
V.K. JADHAV,Male,1960-05-17T00:00:00Z,Maharashtra,Beed,2014-03-03T00:00:00Z,2022-05-16T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Balbhim College, Beed",Commerce,"M.P. Law College, Aurangabad",NA,1982,NA,No,No,No,Bombay,Bombay,NA,NA,NA
V.M. DESHPANDE,Male,1960-05-19T00:00:00Z,Maharashtra,Warud (District: Amravati),2014-01-06T00:00:00Z,2022-05-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,Yes,No,No,No,Yes,"Aided School, Buldhana","Hislop College, Nagpur",Commerce,"University College of Law, Nagpur",1983,1983,NA,No,No,No,Bombay,Bombay,NA,NA,NA
V.R.KINGAONKAR,Male,1949-01-31T00:00:00Z,NA,NA,2006-02-27T00:00:00Z,2011-01-30T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Sarwasti Bhuvan, Jalna",R.B.Bagadia &R. Bezanji,Science,"M.P. Law College, Aurangabad",NA,1971,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
Vijay Ganesh Munshi,Male,1945-05-11T00:00:00Z,NA,NA,2002-11-20T00:00:00Z,2007-05-11T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1972,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Vijay Keshav Barde,Male,1940-06-30T00:00:00Z,NA,NA,1955-12-05T00:00:00Z,2002-06-30T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Commerce,NA,NA,1964,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Vishnu Sahai,Male,1942-12-30T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,2004-12-30T00:00:00Z,No,No,Allahabad,Yes,Bombay,1994-02-21T00:00:00Z,Allahabad,2002-04-08T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Uttar Pradesh,No,No,No,Bombay,Allahabad,Bombay,Allahabad,NA
Vishwanth Gopal Palshikar,Male,1945-01-07T00:00:00Z,NA,NA,1994-01-20T00:00:00Z,2007-01-07T00:00:00Z,No,No,Bombay,Yes,Rajisthan,1994-02-14T00:00:00Z,Bombay,2001-06-01T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,No,Bombay,Bombay,Rajasthan,Bombay,NA
VR DATAR,Male,1937-03-02T00:00:00Z,NA,NA,1995-12-05T00:00:00Z,1999-03-02T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Science,NA,NA,1962,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Yogendra Shriniwas Jahagirdar,Male,1954-06-16T00:00:00Z,NA,NA,1997-05-10T00:00:00Z,NA,NA,NA,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Nagpur University,Science,Pune University,1977,1977,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
A Chakraborty,Male,1943-07-15T00:00:00Z,NA,NA,1994-03-28T00:00:00Z,2005-07-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1968,West Bengal,No,No,No,Calcutta,Calcutta,Allahabad,Calcutta,NA
Abhijit Gangopadhyay,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
AK Banerjee,Male,1953-06-02T00:00:00Z,NA,NA,2000-09-15T00:00:00Z,2015-06-01T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"Scottish Church College, Kolkata",NA,NA,NA,1976,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
AK Mathur,Male,1943-07-07T00:00:00Z,West Bengal,Calcutta,1985-09-18T00:00:00Z,2008-07-07T00:00:00Z,No,No,Rajasthan,Yes,Madhya Pradesh,1994-02-18T00:00:00Z,Calcutta,1999-12-22T00:00:00Z,NA,NA,Yes,Madhya Pradesh,Calcutta,NA,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,Arts (English),University of Calcutta,1970,1967,Rajasthan,No,No,No,Calcutta,Rajasthan,MadhyaPradesh,Calcutta,NA
Amitabha Chatterjee,Male,1960-05-09T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2022-05-08T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Katwa College,NA,Katwa College,1979,NA,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Amrita Sinha,Female,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
Anindita Roy Saraswati,Female,1951-12-03T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-12-02T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1977,West Bengal,No,Yes,No,Calcutta,Calcutta,NA,NA,NA
Aniruddha Bose,Male,1959-11-03T00:00:00Z,NA,NA,2004-01-19T00:00:00Z,2021-11-02T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"St. Lawrence School, Calcutta",St. Xaviers College,Commerce,Surendranath College,NA,1985,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Arijit Banerjee,Male,1967-03-07T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2029-03-06T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Arindam Mukherjee,Male,NA,NA,NA,2018-03-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
Arindam Sinha,Male,1965-09-22T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2027-09-21T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Arun Mishra,Male,1955-09-03T00:00:00Z,Madhya Pradesh,NA,1999-10-25T00:00:00Z,2014-07-06T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Rajasthan,Calcutta,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,M.P,NA,Science,NA,NA,1978,Madhya Pradesh,No,No,No,Calcutta,MadhyaPradesh,NA,NA,NA
Asha Arora,Female,NA,NA,NA,2016-06-10T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
Ashim Kumar Roy,Male,1955-08-30T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2017-08-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,Science,University of Calcutta,1982,1984,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Ashis Kumar Chakraborty,Male,1965-12-12T00:00:00Z,West Bengal,NA,2016-10-06T00:00:00Z,2027-12-11T00:00:00Z,Yes,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1992,1993,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Asim Kumar Mondal,Male,1952-11-24T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2014-11-23T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Commerce,NA,NA,NA,NA,No,Yes,No,Calcutta,Calcutta,NA,NA,NA
Asim Kumar Ray,Male,1952-05-11T00:00:00Z,NA,NA,2010-06-21T00:00:00Z,2014-05-10T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,No,No,No,Calcutta,Calcutta,NA,NA,NA
Bibek Chaudhuri,Male,NA,NA,NA,2018-10-12T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
Biswajit Basu,Male,NA,NA,NA,2018-05-02T00:00:00Z,NA,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calcutta,Calcutta,NA,NA,NA
Biswanath Sommader,Male,1963-12-15T00:00:00Z,West Bengal,Calcutta,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,NA,NA,NA,NA,Yes,Calcutta,Meghalaya,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,NA,1989,West Bengal,No,No,No,Calcutta,Calcutta,Allahabad,NA,NA
C.S. Karnan,Male,1955-06-12T00:00:00Z,"Karnatham Village, Virudhachalam Taluk,","Cuddalore District, Tamil Nadu",2016-03-11T00:00:00Z,2017-06-11T00:00:00Z,No,No,Madras,Yes,Madras,NA,Calcutta,2016-03-11T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Mangalampet High School,"New College, Chennai",Science,Madras Law College,1983,1983,Tamil Nadu,No,No,No,Calcutta,Madras,Madras,Calcutta,NA
Debangsu Basak,Male,1966-06-19T00:00:00Z,NA,NA,2013-10-30T00:00:00Z,2028-06-18T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1991,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Debasish Kar Gupta,Male,1957-01-01T00:00:00Z,Calcutta,West Bengal,2006-06-22T00:00:00Z,2018-12-30T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1980,1982,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Debi Prosad Dey,Male,1956-02-16T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2018-02-15T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Purulia Zilla School,Burdwan University,Commerce,Burdwan University,NA,NA,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Dipak Saha Ray,Male,1951-06-02T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-06-01T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,1977,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Dipankar Datta,Male,1965-02-09T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2020-04-27T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Bombay,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1989,1989,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
G.C Dey,Male,1943-01-08T00:00:00Z,NA,NA,1999-09-16T00:00:00Z,2005-01-07T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1964,1965,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Girish Chandra Gupta,Male,1954-12-01T00:00:00Z,Kolkata,NA,2000-09-15T00:00:00Z,2016-02-01T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Calcutta,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Kolkata,NA,NA,NA,NA,1982,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Harish Tandon,Male,1964-11-16T00:00:00Z,NA,NA,2010-04-13T00:00:00Z,2026-11-15T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1989,1989,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Hiranmay Bhattacharya,Male,1968-12-18T00:00:00Z,NA,NA,2019-02-12T00:00:00Z,2030-12-17T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Ramakrishna Mission Vidyalaya, Narendrapur",Goenka College of Commerce and Business Administration,Commerce,University of Calcutta,2000,NA,West Bengal,No,Yes,No,Calcutta,Calcutta,NA,NA,NA
Indira Banerjee,Female,1957-09-24T00:00:00Z,NA,NA,2002-02-05T00:00:00Z,2022-09-23T00:00:00Z,No,No,Calcutta,Yes,Delhi,2016-08-08T00:00:00Z,NA,NA,NA,NA,Yes,Madras,NA,NA,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,"Loreto House, Calcutta",Presidency College,NA,"Calcutta University, College of Law",NA,1985,West Bengal,No,No,No,Calcutta,Calcutta,Delhi,NA,NA
Indra Prasanna Mukherji,Male,1963-06-09T00:00:00Z,NA,NA,2009-05-18T00:00:00Z,2025-06-08T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"St. Xavier's Schoool, Calcutta",NA,NA,University of Calcutta,NA,1990,West Bengal,Yes,No,No,Calcutta,Calcutta,NA,NA,NA
Indrajit Chatterjee,Male,1955-02-02T00:00:00Z,West Bengal,Bankura,2013-10-01T00:00:00Z,2017-02-01T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,University of Calcutta (Belur Vidya Mandir),NA,Burdawan University,1979,1980,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Ishan Chandra Das,Male,1955-03-01T00:00:00Z,NA,NA,2013-10-01T00:00:00Z,2017-02-28T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Calcutta University,NA,Calcutta University,1979,NA,NA,No,Yes,No,Calcutta,Calcutta,NA,NA,NA
Jainarayan Patel,Male,1950-10-05T00:00:00Z,NA,NA,1987-04-20T00:00:00Z,2012-10-05T00:00:00Z,No,No,Bombay,Yes,Mumbai,NA,Bombay,1997-01-07T00:00:00Z,NA,NA,Yes,Calcutta,NA,NA,Yes,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1974,Bombay,No,No,No,Calcutta,Bombay,Bombay,Bombay,NA
Jay Sengupta,Male,1970-10-30T00:00:00Z,NA,NA,2018-05-02T00:00:00Z,2032-10-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"South Point High School, Kolkata","St. Xaviers College, Kolkata",Economics,University of Mumbai,NA,1996,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
JK Biswas,Male,1953-02-17T00:00:00Z,NA,NA,2002-02-05T00:00:00Z,2015-02-16T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1981,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
Joymalya Bagchi,Male,1966-10-03T00:00:00Z,NA,NA,2011-06-27T00:00:00Z,2028-10-02T00:00:00Z,No,No,Calcutta,Yes,Andhra Pradesh,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Calcutta Boy's School,Calcutta University,Integrated Law,University of Calcutta,1991,1991,West Bengal,No,No,No,Calcutta,Calcutta,AndhraPradesh,NA,NA
Sanjib Banerjee,Male,1961-11-02T00:00:00Z,West Bengal,NA,2006-06-22T00:00:00Z,2023-11-01T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,of Madras,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,Science (Economics),University of Calcutta,1983,1990,West Bengal,No,No,No,Calcutta,Calcutta,NA,NA,NA
